Feature
ABCC5_AS1
ACPP
ADAD2
AFF4
AMIGO2
ANKRD20A12P
AP3B2
ARFRP1
ATP10A
ATP13A5
BEND4
BEX4
C10orf25
C2orf16
C3orf18
C6orf201
C6orf89
CCDC23
CCDC7
CCNE2
CCPG1
CCR5
CDC123
CDC42BPB
CDC7
CDV3
CEBPB
CENPP
CEP76
CIB1
CIZ1
CLCN2
COX6C
CPB2
CSMD3
CSRNP2
CYTH2
DAZAP2
DCP2
DDIT3
DDX23
DEAF1
DIS3
DLGAP2
DNAAF1
DNAJC11
DPP4
DTHD1
EBPL
ERBB2
ERICH6
FAM212B
FAM213B
FAM229B
FBXO11
FHOD3
FKBP2
FMO2
FRAT1
GAREML
GATAD1
GDPD2
GGCX
GHRLOS
GLIDR
GPRASP1
GTSCR1
HCG14
HCN2
HDAC1
HEATR2
HIST1H4H
HLX_AS1
IGSF22
IL27
IL4
IQCD
ITGA2
KCND1
KCNH4
KDM4A
KIAA0319
KIF24
KIFC1
KLHL24
KY
LACTB
LAG3
LAMA2
LDB1
LIN7B
LINC00035
LINC00938
LOC100129973
LOC101926933
LOC101928694
LOC553103
LYSMD1
MAST1
MBOAT7
MDP1
MIR875
MOK
MPI
MPP5
MROH9
MRTO4
MSRA
N6AMT2
NAA38
NCOA3
NECAB3
NELFA
NR2E3
NT5E
NXPE3
OSMR
PABPN1
PCBD1
PCDHB19P
PCYT2
PDE6A
PELO
PHF14
PI16
PIGX
PIK3R1
PLEKHA8P1
PLEKHN1
PNPLA6
PNRC2
POU2F1
PPID
PPP1R1B
PPP2R3C
PRG4
PRX
PUSL1
RAB5A
RAE1
RALGAPB
RASA4CP
RBP2
RFTN2
RFX1
RGS11
RHEB
RILPL1
RNASEH2B_AS1
RNF138
RNF167
RNF170
ROMO1
RP9
RRM1
RTN2
RUNX2
SDAD1
SERPINB9P1
SETD9
SHC3
SLC16A12
SLC16A2
SLC26A2
SLC26A4_AS1
SLC35D1
SLC6A17
SNORA65
SNRNP35
SNX2
SPAG17
SPCS1
SPHK2
SRMS
SRSF11
STARD4_AS1
TCF7L1
THBD
THG1L
TM6SF1
TMEM108
TMEM134
TMEM150A
TRAF3IP1
TRPV5
TSPAN18
TVP23A
UBA5
UBLCP1
USP30_AS1
VAT1
VPS13A_AS1
VSTM4
WNT4
ZMYND12
ZNF182
ZNF184
ZNF614
ZNF655
ZP1
