Feature
A2M
ACAA2
ACTA1
ACTBL2
AFG3L2
AGT
AMBP
APCS
APOA2
APOC2
APOC3
APOD
APOF
APOL1
APOM
ARHGAP19
ASS1
ATP5A1
ATRN
ATRN_1
AZGP1
BTD
C1QA
C1QC
C1R
C1RL
C1S
C4A
C4BPA
C4BPB
C5
C8A
CA1
CAPZB
CD14
CDHR5
CDK5RAP2
CFB
CFD
CFHR4
CFHR5
COL6A3
COLEC11
COMP
CPB2
CPN1
CRISP3
CST3
CTTNBP2
DSP
DYNC1H1
ECM1
ENO1
F12
F13A1
F7
F9
FCGBP
FERMT3
FETUB
FGA
FGB
FGG
FLNA
FN1
FRMPD1
GAPDH
GC
GP1BA
GPLD1
GPR116
GPX3
HBB
HBD
HNRNPM
HP
HPX
HV330_2
HV348
HV353
IGF2
IGF2R
IGFBP3
IGHA1
IGHG2
IGJ
IGLC2
IGLL5
IL1RAP
IL1RAP_1
ILK
INHBC
INPP5E
ITIH3
ITIH4
KLKB1
KNG1
KNG1_2
KRT17
KV116
KV133
KV310
KV315
KV320
KVD16
KVD33
KVD33_2
KVD33_4
LBP
LCAT
LCP1
LDHB
LGALS3BP
LV140
LV144
LV147
LV743
MAP4
MCAM
MGP
MMRN1
MSN
MTHFD1
MYBPC2
MYH7
MYH9
NCAM1
NPHP3
OLFM1
ORM1
PF4
PFN1
PGLYRP2
PI16
PLG
PON3
PPBP
PRDX2
PRG4
PROS1
PSTK
PTPRC
RBP4
SAA1
SCLT1
SCP2
SERPINA10
SERPINA3
SERPINA4
SERPINA6
SERPINC1
SERPINF1
SERPINF2
SH3GL3
TAGLN2
TF
TGFBI
TLN1
TPM4
TTR
VASN
VWF
ZNF10
